student_id,date_engaged,paid
274999,2022-05-27,1
274501,2022-05-27,1
272842,2022-05-27,1
275173,2022-05-27,0
274876,2022-05-27,0
275020,2022-05-27,1
271991,2022-05-27,1
274531,2022-05-27,0
262412,2022-05-27,1
275005,2022-05-27,0
266512,2022-05-27,1
269959,2022-05-27,1
261756,2022-05-27,1
263494,2022-05-27,1
259098,2022-05-27,0
274631,2022-05-27,1
271098,2022-05-27,0
268863,2022-05-27,1
274814,2022-05-27,1
260192,2022-05-27,1
268978,2022-05-27,1
272907,2022-05-27,0
275178,2022-05-27,0
274919,2022-05-27,0
271348,2022-05-27,1
274908,2022-05-27,1
265101,2022-05-27,1
275180,2022-05-27,0
268011,2022-05-27,1
274990,2022-05-27,0
259884,2022-05-27,1
275184,2022-05-27,0
272991,2022-05-27,1
273423,2022-05-27,1
269518,2022-05-27,1
258800,2022-01-03,1
258800,2022-01-04,1
258800,2022-01-05,1
258800,2022-01-06,1
258800,2022-01-10,1
258800,2022-01-15,1
258800,2022-01-23,1
258800,2022-02-25,1
258800,2022-02-26,1
258800,2022-02-27,1
258803,2022-01-01,1
258803,2022-01-02,1
258803,2022-01-03,1
258803,2022-01-05,1
258803,2022-01-11,1
258803,2022-02-01,1
258804,2022-01-01,0
258809,2022-01-02,0
258809,2022-01-04,0
258811,2022-01-01,0
258811,2022-01-04,0
258811,2022-01-08,0
258811,2022-01-13,0
258818,2022-05-10,1
258818,2022-03-13,1
258818,2022-03-16,1
258818,2022-03-17,1
258818,2022-03-18,1
258818,2022-03-20,1
258818,2022-01-03,1
258818,2022-01-05,1
258818,2022-01-10,1
258818,2022-01-11,1
258818,2022-01-19,1
258818,2022-01-20,1
258818,2022-01-21,1
258818,2022-02-10,1
258818,2022-02-11,1
258818,2022-04-28,1
258818,2022-04-29,1
258818,2022-04-30,1
258818,2022-01-04,1
258818,2022-03-23,1
258818,2022-01-23,1
258818,2022-03-31,1
258818,2022-04-06,1
258819,2022-01-01,0
258822,2022-01-09,1
258822,2022-01-10,1
258822,2022-01-13,1
258822,2022-01-14,1
258822,2022-01-16,1
258822,2022-01-18,1
258822,2022-01-20,1
258822,2022-01-26,1
258832,2022-01-05,0
258832,2022-01-06,0
258832,2022-01-09,0
258834,2022-01-01,0
258837,2022-01-02,0
258837,2022-01-08,0
258837,2022-01-29,0
258840,2022-01-04,0
258845,2022-01-26,0
258845,2022-02-04,0
258845,2022-02-15,0
258845,2022-01-08,0
258845,2022-01-09,0
258845,2022-01-13,0
258845,2022-01-14,0
258845,2022-01-17,0
258845,2022-01-18,0
258845,2022-01-10,0
258845,2022-01-21,0
258849,2022-01-01,0
258851,2022-01-01,0
258857,2022-01-01,0
258860,2022-01-01,0
258861,2022-01-01,0
258862,2022-01-01,1
258862,2022-01-02,1
258862,2022-01-03,1
258862,2022-01-07,1
258862,2022-01-13,1
258862,2022-01-15,1
258862,2022-01-18,1
258862,2022-01-19,1
258863,2022-01-05,0
258865,2022-01-01,1
258865,2022-01-05,1
258865,2022-01-06,1
258865,2022-01-11,1
258865,2022-01-20,1
258865,2022-02-07,1
258872,2022-01-03,0
258876,2022-01-01,0
258876,2022-01-02,0
258876,2022-01-03,0
258876,2022-01-12,0
258878,2022-01-02,1
258878,2022-01-08,1
258880,2022-01-04,0
258880,2022-01-07,0
258880,2022-01-08,0
258881,2022-01-01,0
258883,2022-01-04,1
258883,2022-01-05,1
258885,2022-01-01,0
258885,2022-01-04,0
258893,2022-01-02,0
258894,2022-01-01,0
258895,2022-01-01,0
258902,2022-01-02,0
258903,2022-01-01,0
258904,2022-01-09,0
258904,2022-01-10,0
258904,2022-01-02,0
258906,2022-01-07,0
258906,2022-01-08,0
258906,2022-01-15,0
258906,2022-01-16,0
258907,2022-04-25,0
258908,2022-01-01,1
258908,2022-01-02,1
258908,2022-01-03,1
258910,2022-01-02,0
